,KL,KS,KS_p,MW,MW_p
net,inf,0.24,0.4754535018190584,342.0,0.573282483865243
net.conv1,0.03294536893927139,0.16,0.914993219397903,305.0,0.8919584630016638
net.bn1,0.0,0.0,1.0,312.5,1.0
net.relu,0.0,0.0,1.0,312.5,1.0
net.maxpool,0.0,0.0,1.0,312.5,1.0
net.layer1,0.020662279801923977,0.2,0.7102038997076623,288.0,0.6414208537937369
net.layer1.0,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv1,0.029876941769895277,0.2,0.7102038997076623,290.0,0.6694569366732248
net.layer1.0.bn1,inf,0.12,0.995531553175167,345.0,0.5230722869801075
net.layer1.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv2,0.011063715219586864,0.16,0.914993219397903,292.0,0.6979669572446237
net.layer1.0.bn2,inf,0.12,0.995531553175167,333.0,0.6612248077099241
net.layer1.1,0.015524345462135412,0.12,0.995531553175167,323.0,0.8461462702864939
net.layer1.1.conv1,0.022461475144070226,0.2,0.7102038997076623,291.0,0.6836702770203351
net.layer1.1.bn1,0.008848018026228107,0.04,1.0,310.5,0.9690081743099715
net.layer1.1.relu,0.01891941597676871,0.12,0.995531553175167,289.0,0.65540543793669
net.layer1.1.conv2,0.012419665595803481,0.2,0.7102038997076623,300.0,0.8158771301758501
net.layer1.1.bn2,inf,0.16,0.914993219397903,331.0,0.7263450310575843
net.layer2,0.024226182188637053,0.16,0.914993219397903,335.0,0.6694569366732248
net.layer2.0,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv1,0.03345696297497046,0.16,0.914993219397903,287.0,0.6276010193036379
net.layer2.0.bn1,0.022706979351486984,0.12,0.995531553175167,318.0,0.9227095280591425
net.layer2.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv2,0.032742675182185946,0.16,0.914993219397903,323.0,0.8461389733881253
net.layer2.0.bn2,0.03541861366188166,0.16,0.914993219397903,334.0,0.6836559083072498
net.layer2.0.downsample,0.014946459550785674,0.12,0.995531553175167,314.0,0.9845189935536035
net.layer2.0.downsample.0,0.022113789684630198,0.2,0.7102038997076623,294.0,0.7268817699688606
net.layer2.0.downsample.1,0.021319361795546086,0.12,0.995531553175167,323.0,0.8461426219670758
net.layer2.1,0.013416047649605179,0.16,0.914993219397903,324.0,0.8309825362164442
net.layer2.1.conv1,0.024275063146950555,0.16,0.914993219397903,329.0,0.756210786448293
net.layer2.1.bn1,0.013879733401432203,0.08,0.999999734559995,311.0,0.9835869855341655
net.layer2.1.relu,0.04712070627371161,0.12,0.995531553175167,311.0,0.9845189935536035
net.layer2.1.conv2,0.016953343296422098,0.16,0.914993219397903,306.0,0.9073197684781757
net.layer2.1.bn2,0.018088829942525628,0.2,0.7102038997076623,324.0,0.8309865332499019
net.layer3,0.0,0.0,1.0,312.5,1.0
net.layer3.0,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv1,0.021419963507156872,0.2,0.7102038997076623,346.0,0.5219614617179233
net.layer3.0.bn1,inf,0.12,0.995531553175167,318.0,0.9208518266868052
net.layer3.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv2,0.06274986882265815,0.12,0.995531553175167,322.0,0.8613704976722206
net.layer3.0.bn2,0.10102546535269788,0.2,0.7102038997076623,344.0,0.5475147688915105
net.layer3.0.downsample,0.041033807832371205,0.16,0.914993219397903,319.0,0.9073175531117936
net.layer3.0.downsample.0,0.022735130673004453,0.12,0.995531553175167,318.0,0.922700275574176
net.layer3.0.downsample.1,0.01838721948519794,0.16,0.914993219397903,330.0,0.7415025068840694
net.layer3.1,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv1,0.023268019235270398,0.08,0.999999734559995,314.0,0.9845193652221002
net.layer3.1.bn1,0.014637867241966399,0.04,1.0,312.5,1.0
net.layer3.1.relu,0.0,0.0,1.0,312.5,1.0
