,KL,KS,KS_p,MW,MW_p
net,inf,0.24,0.4754535018190584,347.0,0.5090615807387429
net.conv1,0.596940283890202,0.4,0.03561137027640743,413.0,0.05231677247845211
net.bn1,0.0,0.0,1.0,312.5,1.0
net.relu,0.0,0.0,1.0,312.5,1.0
net.maxpool,0.0,0.0,1.0,312.5,1.0
net.layer1,0.511959629578262,0.28,0.2850421476958367,375.0,0.22891826580318364
net.layer1.0,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv1,0.5902709467769937,0.32,0.15576025200619348,376.0,0.22150865658920194
net.layer1.0.bn1,inf,0.28,0.2850421476958367,392.0,0.1110915582769048
net.layer1.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv2,0.4528423427669826,0.28,0.2850421476958367,390.0,0.13516116014789456
net.layer1.0.bn2,inf,0.16,0.914993219397903,353.0,0.366296941082756
net.layer1.1,0.1105627530701635,0.2,0.7102038997076623,291.0,0.6836271650135939
net.layer1.1.conv1,0.26725641247318704,0.2,0.7102038997076623,304.0,0.8766427362294165
net.layer1.1.bn1,inf,0.08,0.999999734559995,334.5,0.550444538521423
net.layer1.1.relu,0.10388532678535962,0.12,0.995531553175167,333.0,0.6979669572446237
net.layer1.1.conv2,0.36118721645129714,0.24,0.4754535018190584,355.0,0.415107075134317
net.layer1.1.bn2,inf,0.16,0.914993219397903,348.0,0.4961215946447145
net.layer2,0.16788894504575358,0.2,0.7102038997076623,316.0,0.9535813971022133
net.layer2.0,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv1,0.042694787334881044,0.24,0.4754535018190584,310.0,0.9690453003117911
net.layer2.0.bn1,0.061833070918687214,0.16,0.914993219397903,342.0,0.5736510006245363
net.layer2.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv2,0.05288596719341687,0.16,0.914993219397903,318.0,0.9227076778279452
net.layer2.0.bn2,0.0478624594339794,0.16,0.914993219397903,343.0,0.5605090914385145
net.layer2.0.downsample,0.062326143453357956,0.16,0.914993219397903,320.0,0.891955884540335
net.layer2.0.downsample.0,0.23446561375948838,0.12,0.995531553175167,336.0,0.655397698889244
net.layer2.0.downsample.1,0.07886452281116618,0.12,0.995531553175167,325.0,0.8158858136061969
net.layer2.1,0.08421160686402296,0.24,0.4754535018190584,294.0,0.7268817699688606
net.layer2.1.conv1,0.06298570677777492,0.2,0.7102038997076623,310.0,0.9690438145306467
net.layer2.1.bn1,inf,0.08,0.999999734559995,322.0,0.8519179771256652
net.layer2.1.relu,0.13098595713860317,0.16,0.914993219397903,317.0,0.9381356914636003
net.layer2.1.conv2,0.05813438813692028,0.2,0.7102038997076623,304.0,0.8766339207195714
net.layer2.1.bn2,0.09174063811364373,0.2,0.7102038997076623,343.0,0.5605090914385145
