,KL,KS,KS_p,MW,MW_p
net,inf,0.12,0.995531553175167,328.0,0.7709918981659785
net.conv1,0.0822793498106985,0.2,0.7102038997076623,293.0,0.7123723305601254
net.bn1,0.0,0.0,1.0,312.5,1.0
net.relu,0.0,0.0,1.0,312.5,1.0
net.maxpool,0.0,0.0,1.0,312.5,1.0
net.layer1,0.081491859002647,0.24,0.4754535018190584,285.0,0.6003466285210173
net.layer1.0,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv1,0.07588789846860304,0.16,0.914993219397903,289.0,0.6553822192328832
net.layer1.0.bn1,inf,0.12,0.995531553175167,326.0,0.7969148980493548
net.layer1.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv2,0.015136825862391944,0.16,0.914993219397903,292.0,0.6979738522659524
net.layer1.0.bn2,0.06841272101523496,0.08,0.999999734559995,321.0,0.8642650105690585
net.layer1.1,0.18401733335473874,0.2,0.7102038997076623,294.0,0.7268880657737735
net.layer1.1.conv1,0.05159188394601364,0.24,0.4754535018190584,260.0,0.312987858731134
net.layer1.1.bn1,inf,0.04,1.0,324.0,0.7684496627905633
net.layer1.1.relu,0.06442448193483731,0.12,0.995531553175167,300.0,0.8158858136061969
net.layer1.1.conv2,0.046484421302585184,0.16,0.914993219397903,312.0,1.0
net.layer1.1.bn2,inf,0.12,0.995531553175167,327.0,0.7857734244344734
net.layer2,0.1683709094285753,0.2,0.7102038997076623,342.0,0.5736417992819823
net.layer2.0,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv1,0.04926661347942601,0.2,0.7102038997076623,273.0,0.4492120457635427
net.layer2.0.bn1,inf,0.2,0.7102038997076623,357.0,0.39325715704186925
net.layer2.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv2,0.014901645264383293,0.16,0.914993219397903,289.0,0.6553899593213278
net.layer2.0.bn2,0.03872196905857342,0.16,0.914993219397903,328.0,0.7710186241805638
net.layer2.0.downsample,0.015569612370319655,0.28,0.2850421476958367,282.0,0.5604902638374452
net.layer2.0.downsample.0,0.1005540333863158,0.2,0.7102038997076623,296.0,0.7562164544255232
net.layer2.0.downsample.1,0.045068833291142384,0.16,0.914993219397903,281.0,0.5475051526643563
net.layer2.1,0.024191016607336135,0.24,0.4754535018190584,286.0,0.6139282580548475
net.layer2.1.conv1,0.03115953523100587,0.24,0.4754535018190584,272.0,0.4376706762815611
net.layer2.1.bn1,0.014008852196186023,0.12,0.995531553175167,319.0,0.9017644767025017
net.layer2.1.relu,0.03586839308425315,0.16,0.914993219397903,314.0,0.9845189935536035
net.layer2.1.conv2,0.05521213794999534,0.28,0.2850421476958367,276.0,0.48486293237843714
net.layer2.1.bn2,0.05695127469311035,0.2,0.7102038997076623,344.0,0.5475051526643563
net.layer3,0.0,0.0,1.0,312.5,1.0
net.layer3.0,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv1,0.05228064582362257,0.12,0.995531553175167,293.0,0.7123789295489698
net.layer3.0.bn1,inf,0.16,0.914993219397903,334.0,0.6776023055631173
net.layer3.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv2,0.09761866119500967,0.12,0.995531553175167,329.0,0.7562164544255232
net.layer3.0.bn2,0.12685737679992423,0.2,0.7102038997076623,364.0,0.3223963931070317
net.layer3.0.downsample,0.05478066609471364,0.12,0.995531553175167,323.0,0.8461535661468554
net.layer3.0.downsample.0,0.055950899482258475,0.24,0.4754535018190584,274.0,0.46091335885836215
net.layer3.0.downsample.1,0.031996673700036955,0.16,0.914993219397903,305.0,0.8919636193705659
net.layer3.1,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv1,0.07160204789639833,0.16,0.914993219397903,326.0,0.800853160950144
net.layer3.1.bn1,0.05308485412456002,0.08,0.999999734559995,317.5,0.9160235468670915
net.layer3.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv2,0.06305220495648386,0.28,0.2850421476958367,358.0,0.38258175195604194
net.layer3.1.bn2,inf,0.12,0.995531553175167,320.0,0.8919584630016638
net.layer4,0.0,0.0,1.0,312.5,1.0
net.layer4.0,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv1,0.10978693492650209,0.16,0.914993219397903,353.0,0.43764867077888714
