,KL,KS,KS_p,MW,MW_p
net,inf,0.16,0.914993219397903,323.0,0.8460367076822153
net.conv1,0.05736043243097825,0.2,0.7102038997076623,311.0,0.9845182501362939
net.bn1,0.0,0.0,1.0,312.5,1.0
net.relu,0.0,0.0,1.0,312.5,1.0
net.maxpool,0.0,0.0,1.0,312.5,1.0
net.layer1,0.09716063924052044,0.16,0.914993219397903,333.0,0.6978841801769269
net.layer1.0,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv1,0.08051189042233056,0.2,0.7102038997076623,305.0,0.8919481480485735
net.layer1.0.bn1,inf,0.12,0.995531553175167,335.0,0.660593698401337
net.layer1.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv2,0.042318399901186736,0.12,0.995531553175167,301.0,0.8309705434145362
net.layer1.0.bn2,inf,0.12,0.995531553175167,341.0,0.5336539698532541
net.layer1.1,0.07135192361155325,0.28,0.2850421476958367,361.0,0.3515289990369709
net.layer1.1.conv1,0.0515829006939979,0.28,0.2850421476958367,372.0,0.2522482631178211
net.layer1.1.bn1,inf,0.04,1.0,321.0,0.8304600536979655
net.layer1.1.relu,0.06684640067485821,0.24,0.4754535018190584,340.0,0.6002503421519745
net.layer1.1.conv2,0.043912550232901436,0.24,0.4754535018190584,310.0,0.9690445574479615
net.layer1.1.bn2,inf,0.16,0.914993219397903,323.0,0.8458315630650723
net.layer2,0.0975679408822288,0.12,0.995531553175167,314.0,0.9845186218583358
net.layer2.0,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv1,0.050407496817575746,0.24,0.4754535018190584,340.0,0.6003203754775301
net.layer2.0.bn1,inf,0.2,0.7102038997076623,286.0,0.6139282580548475
net.layer2.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv2,0.02435526423234936,0.2,0.7102038997076623,322.0,0.8613606119125552
net.layer2.0.bn2,0.03210542331668009,0.16,0.914993219397903,299.0,0.8008484796747632
net.layer2.0.downsample,0.04789816743831976,0.24,0.4754535018190584,351.0,0.4609025944078553
net.layer2.0.downsample.0,0.08954659189176777,0.2,0.7102038997076623,339.0,0.6138771912860244
net.layer2.0.downsample.1,0.08268627399563153,0.16,0.914993219397903,343.0,0.5604902638374452
net.layer2.1,0.07238480391873832,0.28,0.2850421476958367,357.0,0.3932003495854247
net.layer2.1.conv1,0.03292583981499431,0.16,0.914993219397903,334.0,0.6836487232173545
net.layer2.1.bn1,0.026255818272817952,0.08,0.999999734559995,308.0,0.9344173339554109
net.layer2.1.relu,inf,0.2,0.7102038997076623,322.0,0.8613639074007502
net.layer2.1.conv2,0.08710052151136018,0.32,0.15576025200619348,360.0,0.36178043378617764
net.layer2.1.bn2,0.08414242895183699,0.24,0.4754535018190584,269.0,0.40408796254197155
net.layer3,0.0,0.0,1.0,312.5,1.0
net.layer3.0,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv1,0.1277829559567453,0.24,0.4754535018190584,345.0,0.5346417814703774
net.layer3.0.bn1,inf,0.2,0.7102038997076623,335.0,0.6573304215329752
net.layer3.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv2,0.16461806873590373,0.16,0.914993219397903,313.0,1.0
net.layer3.0.bn2,0.10533068001739046,0.12,0.995531553175167,307.0,0.9227132281229546
net.layer3.0.downsample,0.033910074902470215,0.2,0.7102038997076623,298.0,0.7858387079909721
net.layer3.0.downsample.0,0.08670010191433891,0.24,0.4754535018190584,351.0,0.46089182932240746
net.layer3.0.downsample.1,0.057061575947784944,0.2,0.7102038997076623,340.0,0.6003203754775301
net.layer3.1,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv1,0.2190508301221149,0.12,0.995531553175167,322.0,0.8613639074007502
net.layer3.1.bn1,inf,0.04,1.0,322.0,0.8294429260230884
net.layer3.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv2,0.21525782536133195,0.12,0.995531553175167,325.0,0.8158684455169329
net.layer3.1.bn2,inf,0.12,0.995531553175167,318.0,0.9226965736496808
net.layer4,0.0,0.0,1.0,312.5,1.0
net.layer4.0,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv1,inf,0.2,0.7102038997076623,339.0,0.6138771912860244
net.layer4.0.bn1,inf,0.08,0.999999734559995,334.0,0.586488460816919
net.layer4.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv2,inf,0.24,0.4754535018190584,344.0,0.547380086254581
net.layer4.0.bn2,0.24237943944972615,0.08,0.999999734559995,309.5,0.9532882988693632
net.layer4.0.downsample,0.2965655838209949,0.28,0.2850421476958367,356.0,0.4040315262834969
net.layer4.0.downsample.0,0.2648545824208123,0.12,0.995531553175167,337.0,0.6414208537937369
net.layer4.0.downsample.1,0.29367426888365766,0.24,0.4754535018190584,345.0,0.5346025327647737
net.layer4.1,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv1,0.2809417783110624,0.2,0.7102038997076623,342.0,0.573531336910146
net.layer4.1.bn1,0.14715942777240035,0.04,1.0,313.0,1.0
net.layer4.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv2,inf,0.16,0.914993219397903,335.0,0.6694420020588001
net.layer4.1.bn2,inf,0.12,0.995531553175167,340.0,0.5720215858849438
net.avgpool,inf,0.28,0.2850421476958367,341.0,0.5863883271569985
net.fc,inf,0.16,0.914993219397903,332.0,0.7122997117178504
linear,0.3328287255461206,0.08,0.999999734559995,311.0,0.9845189935536035
relu,0.0,0.0,1.0,312.5,1.0
out,0.0,0.0,1.0,312.5,1.0
